```
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                      sample.rng|  4.06e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
          sts_serial|   9|    100000|     400|0.86510320|  PASSED  
          sts_serial|  10|    100000|     400|0.31295381|  PASSED  
          sts_serial|  10|    100000|     400|0.83919974|  PASSED  
          sts_serial|  11|    100000|     400|0.43143153|  PASSED  
          sts_serial|  11|    100000|     400|0.09508442|  PASSED  
          sts_serial|  12|    100000|     400|0.52356001|  PASSED  
          sts_serial|  12|    100000|     400|0.63613717|  PASSED  
          sts_serial|  13|    100000|     400|0.19686742|  PASSED  
          sts_serial|  13|    100000|     400|0.52712354|  PASSED  
          sts_serial|  14|    100000|     400|0.00890124|  PASSED  
          sts_serial|  14|    100000|     400|0.10913671|  PASSED  
          sts_serial|  15|    100000|     400|0.00084181|   WEAK   
          sts_serial|  15|    100000|     400|0.08103174|  PASSED  
          sts_serial|  16|    100000|     400|0.02946172|  PASSED  
          sts_serial|  16|    100000|     400|0.21440126|  PASSED  
          sts_serial|   1|    100000|     500|0.00000011|  FAILED  
          sts_serial|   2|    100000|     500|0.80900856|  PASSED  
          sts_serial|   3|    100000|     500|0.92808883|  PASSED  
          sts_serial|   3|    100000|     500|0.64125941|  PASSED  
          sts_serial|   4|    100000|     500|0.65348191|  PASSED  
          sts_serial|   4|    100000|     500|0.82636393|  PASSED  
          sts_serial|   5|    100000|     500|0.65964678|  PASSED  
          sts_serial|   5|    100000|     500|0.09222259|  PASSED  
          sts_serial|   6|    100000|     500|0.93893460|  PASSED  
          sts_serial|   6|    100000|     500|0.65926683|  PASSED  
          sts_serial|   7|    100000|     500|0.58520005|  PASSED  
          sts_serial|   7|    100000|     500|0.80097034|  PASSED  
          sts_serial|   8|    100000|     500|0.05676030|  PASSED  
          sts_serial|   8|    100000|     500|0.15783317|  PASSED  
